bench,mode,api,iface,op,size_bytes,blocks,threads,repeats,total_bytes,host_ms,host_wall_ns,gbps_host,gbps_host_wall,dev_cycles,bytes_per_cycle,clk_khz,clk_eff_khz_from_host,gbps_dev
ptshmem_perf_matrix_device,dev_put_nbi,device,nbi,put,16384,64,512,65536,1073741824,986.202332,986807699,1.088764,1.088096,973856832,1.102566403,1073741,987481.778,1.183871
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,4,128,65536,1073741824,527.257263,528208970,2.036467,2.032797,524912050,2.045565203,1073741,995552.051,2.196407
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,4,256,65536,1073741824,340.690125,341670707,3.151667,3.142622,336363818,3.192203699,1073741,987301.345,3.427600
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,4,512,65536,1073741824,244.491302,245175997,4.391738,4.379474,242093648,4.435233361,1073741,990193.293,4.762292
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,8,128,65536,1073741824,339.121704,339800788,3.166243,3.159916,336409778,3.191767583,1073741,992003.089,3.427132
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,8,256,65536,1073741824,245.385910,246034560,4.375727,4.364191,241572576,4.444800158,1073741,984459.849,4.772564
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,8,512,65536,1073741824,200.117599,200815687,5.365554,5.346902,196623584,5.460900479,1073741,982540.189,5.863593
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,16,128,65536,1073741824,245.380081,246132228,4.375831,4.362459,242421354,4.429237797,1073741,987942.268,4.755854
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,16,256,65536,1073741824,198.509384,199500191,5.409023,5.382159,194830172,5.511168075,1073741,981465.802,5.917567
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,16,512,65536,1073741824,447.183441,448212283,2.401122,2.395610,442187240,2.428251489,1073741,988827.401,2.607313
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,32,128,65536,1073741824,199.717178,200434297,5.376312,5.357076,196189254,5.472989994,1073741,982335.399,5.876574
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,32,256,65536,1073741824,443.382141,444440736,2.421707,2.415939,438457412,2.448907909,1073741,988892.811,2.629493
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,32,512,65536,1073741824,852.425171,853109836,1.259632,1.258621,843674136,1.272697334,1073741,989733.955,1.366547
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,64,128,65536,1073741824,453.944824,454985025,2.365358,2.359950,449520510,2.388638116,1073741,990253.630,2.564779
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,64,256,65536,1073741824,864.637329,865467949,1.241841,1.240649,857296314,1.252474560,1073741,991509.718,1.344833
ptshmem_perf_matrix_device,dev_get,device,blocking,get,16384,64,512,65536,1073741824,1672.242554,1672623678,0.642097,0.641951,1659222878,0.647135378,1073741,992214.242,0.694856
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,4,128,65536,1073741824,506.959808,507622060,2.118002,2.115239,504369650,2.128878738,1073741,994890.801,2.285864
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,4,256,65536,1073741824,319.918060,320431769,3.356303,3.350922,316003518,3.397879336,1073741,987763.922,3.648442
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,4,512,65536,1073741824,224.243683,225063581,4.788281,4.770838,221235464,4.853389256,1073741,986585.045,5.211283
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,8,128,65536,1073741824,319.348297,320007916,3.362291,3.355360,316568460,3.391815546,1073741,991295.281,3.641931
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,8,256,65536,1073741824,224.900467,224927611,4.774298,4.773722,221605696,4.845280800,1073741,985350.093,5.202577
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,8,512,65536,1073741824,179.057785,180338741,5.996622,5.954028,174628102,6.148734435,1073741,975261.154,6.602148
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,16,128,65536,1073741824,225.713181,226442431,4.757107,4.741787,221971098,4.837304648,1073741,983421.072,5.194012
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,16,256,65536,1073741824,180.456497,180997810,5.950142,5.932347,176628368,6.079101767,1073741,978786.415,6.527381
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,16,512,65536,1073741824,424.508118,425244389,2.529379,2.524999,418843460,2.563587418,1073741,986655.950,2.752629
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,32,128,65536,1073741824,176.675827,177547988,6.077469,6.047615,174899484,6.139193778,1073741,989945.749,6.591904
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,32,256,65536,1073741824,414.932190,414946030,2.587753,2.587666,409610378,2.621373582,1073741,987174.261,2.814676
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,32,512,65536,1073741824,824.201721,824868023,1.302766,1.301713,814832476,1.317745494,1073741,988632.340,1.414917
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,64,128,65536,1073741824,423.209808,423226294,2.537138,2.537039,417606488,2.571180896,1073741,986759.947,2.760782
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,64,256,65536,1073741824,839.394104,839674021,1.279187,1.278760,832495864,1.289786377,1073741,991781.882,1.384897
ptshmem_perf_matrix_device,dev_get_nbi,device,nbi,get,16384,64,512,65536,1073741824,1649.048218,1649655696,0.651128,0.650888,1636514550,0.656115049,1073741,992399.453,0.704498
ptshmem_perf_matrix_device,dev_c2c_put,device_c2c,blocking,put,16384,4,128,65536,1073741824,174.736145,176057981,6.144933,6.098797,172902466,6.210101272,1073741,989506.012,6.668040
